name,position,team,ecr_1qb,ecr_2qb,value_1qb,value_2qb,source_date
Jonah Coleman,RB,DEN,143.7,151.8,359,296,2026-08-14
Chris Bell,WR,MIA,144.2,152.6,354,291,2026-08-14
Rashid Shaheed,WR,SEA,146.5,154.7,336,277,2026-08-14
Daniel Jones,QB,IND,147.5,93.5,328,1167,2026-08-14
Bryce Young,QB,CAR,148.3,95,322,1126,2026-08-14
Kenny Gainwell,RB,TB,149.6,157.5,312,259,2026-08-14
Terrance Ferguson,TE,LAR,150.2,157.9,308,257,2026-08-14
Jalen McMillan,WR,TB,150.2,159,308,250,2026-08-14
AJ Barner,TE,SEA,151.5,158.7,299,252,2026-08-14
Stefon Diggs,WR,WAS,152.3,159.9,293,245,2026-08-14
Germie Bernard,WR,PIT,154,162,281,233,2026-08-14
Jauan Jennings,WR,MIN,156,163.6,269,225,2026-08-14
Juwan Johnson,TE,NO,157.7,164.7,258,219,2026-08-14
Ty Simpson,QB,LAR,157.7,106.6,258,858,2026-08-14
Rachaad White,RB,WAS,157.8,164.7,257,219,2026-08-14
J.K. Dobbins,RB,DEN,158.7,166.2,252,211,2026-08-14
Travis Kelce,TE,KC,158.7,165.9,252,213,2026-08-14
Anthony Richardson Sr.,QB,IND,160.3,110,243,792,2026-08-14
T.J. Hockenson,TE,MIN,161.6,168.2,235,202,2026-08-14
Jacory Croskey-Merritt,RB,WAS,161.7,169.1,235,197,2026-08-14
Jaylin Noel,WR,HOU,162.5,169.2,231,197,2026-08-14
Tyler Allgeier,RB,ARI,163.9,170.1,223,193,2026-08-14
Tyrone Tracy Jr.,RB,NYG,166.1,173,212,180,2026-08-14
Woody Marks,RB,HOU,166.4,172.5,210,182,2026-08-14
Jerry Jeudy,WR,CLE,170.3,177.2,192,163,2026-08-14
Jordan Mason,RB,MIN,170.8,177,190,164,2026-08-14
Nicholas Singleton,RB,TEN,171.9,178.1,185,160,2026-08-14
Elijah Sarratt,WR,BAL,172.2,178.2,184,159,2026-08-14
Adonai Mitchell,WR,NYJ,173.4,179.2,178,156,2026-08-14
Deebo Samuel Sr.,WR,SF,173.6,180.6,178,151,2026-08-14
Hunter Henry,TE,NE,174.5,180.1,174,152,2026-08-14
Troy Franklin,WR,DEN,176.1,182.7,167,143,2026-08-14
Gunnar Helm,TE,TEN,177.2,182.4,163,144,2026-08-14
Ted Hurst III,WR,TB,177.5,181.9,162,146,2026-08-14
Pat Bryant,WR,DEN,178.5,183.9,158,139,2026-08-14
Michael Penix Jr.,QB,ATL,178.6,122.9,158,585,2026-08-14
Zachariah Branch,WR,ATL,178.6,182.5,158,144,2026-08-14
Kayshon Boutte,WR,NE,179.1,184.7,156,137,2026-08-14
Emmett Johnson,RB,KC,179.2,184.8,156,137,2026-08-14
Dylan Sampson,RB,CLE,181.6,187,147,130,2026-08-14
Isaac TeSlaa,WR,DET,183.7,188.7,140,125,2026-08-14
Chris Rodriguez Jr.,RB,JAC,186.2,190.5,132,119,2026-08-14
Ja'Kobi Lane,WR,BAL,189.1,194.4,123,109,2026-08-14
Jalen Nailor,WR,LV,190.5,195.3,119,107,2026-08-14
Malachi Fields,WR,NYG,193.2,196.9,112,103,2026-08-14
Aaron Jones Sr.,RB,MIN,193.4,198.3,112,99,2026-08-14
Mason Taylor,TE,NYJ,193.5,197.9,111,100,2026-08-14
Dalton Schultz,TE,HOU,193.8,197.5,110,101,2026-08-14
Tua Tagovailoa,QB,ATL,195.6,101.3,106,971,2026-08-14
Max Klare,TE,LAR,195.6,198.5,106,99,2026-08-14
Oscar Delp,TE,NO,195.8,198.3,105,99,2026-08-14
Tyjae Spears,RB,TEN,196.3,200.7,104,94,2026-08-14
Chris Brazzell II,WR,CAR,196.7,200.8,103,94,2026-08-14
Eli Raridon,TE,NE,197.5,200.2,101,95,2026-08-14
Skyler Bell,WR,BUF,198.2,200.8,100,94,2026-08-14
Greg Dulcich,TE,MIA,198.3,201.7,99,92,2026-08-14
Kaytron Allen,RB,WAS,199.4,201.9,97,91,2026-08-14
Elic Ayomanor,WR,TEN,200.1,203.5,95,88,2026-08-14
Jack Bech,WR,LV,201.5,205.4,92,84,2026-08-14
Isiah Pacheco,RB,DET,201.7,206.3,92,82,2026-08-14
J.J. McCarthy,QB,MIN,204.1,137.9,87,411,2026-08-14
Chimere Dike,WR,TEN,204.6,209.2,86,77,2026-08-14
Pat Freiermuth,TE,PIT,205.2,208.5,85,78,2026-08-14
Mike Washington Jr.,RB,LV,205.4,206.6,84,82,2026-08-14
Tank Bigsby,RB,PHI,205.5,208.9,84,77,2026-08-14
Braelon Allen,RB,NYJ,205.6,208,84,79,2026-08-14
Keaton Mitchell,RB,LAC,205.8,207,83,81,2026-08-14
Tory Horton,WR,SEA,207.2,209.7,81,76,2026-08-14
Cade Otton,TE,TB,207.4,209.7,80,76,2026-08-14
Shedeur Sanders,QB,CLE,207.5,151.2,80,301,2026-08-14
David Njoku,TE,LAC,208.2,211.5,79,73,2026-08-14
Ryan Flournoy,WR,DAL,211.3,212.3,73,72,2026-08-14
Dontayvion Wicks,WR,PHI,215,217.4,67,63,2026-08-14
Elijah Arroyo,TE,SEA,216.2,218.1,65,62,2026-08-14
Calvin Ridley,WR,TEN,217.6,220.9,63,58,2026-08-14
Jacoby Brissett,QB,ARI,217.7,158.5,63,253,2026-08-14
Keon Coleman,WR,BUF,219.2,220.6,61,59,2026-08-14
Tre Tucker,WR,LV,219.6,220.6,60,59,2026-08-14
Darnell Mooney,WR,NYG,219.9,222.5,60,56,2026-08-14
Brian Robinson Jr.,RB,ATL,220.1,220.6,60,59,2026-08-14
Kyle Williams,WR,NE,220.2,223,59,56,2026-08-14
Alvin Kamara,RB,NO,221.1,221,58,58,2026-08-14
Mac Jones,QB,SF,225.1,168.3,53,201,2026-08-14
Bryce Lance,WR,NO,225.6,227.2,52,50,2026-08-14
Rashod Bateman,WR,BAL,225.8,227.6,52,50,2026-08-14
Malik Washington,WR,MIA,226.6,225.4,51,53,2026-08-14
Aaron Rodgers,QB,PIT,226.8,157.8,51,257,2026-08-14
Geno Smith,QB,NYJ,228.2,158.4,49,254,2026-08-14
Kimani Vidal,RB,LAC,229.8,228.6,47,49,2026-08-14
Demond Claiborne,RB,MIN,232.4,228,45,49,2026-08-14
Marvin Mims Jr.,WR,DEN,232.6,234,44,43,2026-08-14
Kaleb Johnson,RB,PIT,233.4,227.8,44,50,2026-08-14
Justin Joly,TE,DEN,236.5,230.8,41,46,2026-08-14
Theo Johnson,TE,NYG,237.6,232.9,39,44,2026-08-14
Christian Kirk,WR,SF,237.8,233.7,39,43,2026-08-14
Michael Mayer,TE,LV,239.8,234.1,37,43,2026-08-14
Ollie Gordon II,RB,MIA,240,236.7,37,40,2026-08-14
Caleb Douglas,WR,MIA,241.1,237.5,36,40,2026-08-14
Ray Davis,RB,BUF,243,237.3,35,40,2026-08-14
Trey Benson,RB,ARI,243,234.5,35,42,2026-08-14
Carson Beck,QB,ARI,245.3,169.5,33,196,2026-08-14
Emanuel Wilson,RB,SEA,246.5,238,32,39,2026-08-14
Sean Tucker,RB,TB,248.6,239.6,30,38,2026-08-14
Tez Johnson,WR,TB,251.2,242.8,29,35,2026-08-14
MarShawn Lloyd,RB,GB,252.7,244.4,28,34,2026-08-14
Xavier Legette,WR,CAR,253.7,246.1,27,32,2026-08-14
DeMario Douglas,WR,NE,253.9,248.6,27,30,2026-08-14
James Conner,RB,ARI,254.6,243.8,26,34,2026-08-14
Deshaun Watson,QB,CLE,256.5,221.8,25,57,2026-08-14
Cooper Kupp,WR,SEA,257.8,250.6,25,29,2026-08-14
Brenen Thompson,WR,LAC,258.2,251.9,24,28,2026-08-14
Justin Fields,QB,KC,258.5,204.8,24,85,2026-08-14
Cedric Tillman,WR,CLE,260,249.4,23,30,2026-08-14
Devin Neal,RB,NO,260.1,247.8,23,31,2026-08-14
Kaelon Black,RB,SF,262.2,247.9,22,31,2026-08-14
Jaylen Wright,RB,MIA,263.4,250.3,22,29,2026-08-14
Cyrus Allen,WR,KC,264.5,249.7,21,30,2026-08-14
Colby Parkinson,TE,LAR,266.9,250.5,20,29,2026-08-14
Jaydon Blue,RB,DAL,267.3,250.1,20,29,2026-08-14
Hollywood Brown,WR,PHI,267.4,255,20,26,2026-08-14
Kevin Coleman Jr.,WR,MIA,268.7,262.5,19,22,2026-08-14
Jake Tonges,TE,SF,270.1,259.7,18,23,2026-08-14
Kirk Cousins,QB,LV,270.2,239.4,18,38,2026-08-14
Keenan Allen,WR,LAC,271.8,259.4,18,24,2026-08-14
Darnell Washington,TE,PIT,272.6,259.8,17,23,2026-08-14
Devaughn Vele,WR,NO,272.8,256.4,17,25,2026-08-14
Evan Engram,TE,DEN,273.5,259.5,17,24,2026-08-14
Jalen Royals,WR,KC,275.4,260,16,23,2026-08-14
Jalen Milroe,QB,SEA,276.6,245.2,16,33,2026-08-14
Jordan James,RB,SF,276.9,256.7,16,25,2026-08-14
Isaiah Bond,WR,CLE,278.7,263.8,15,21,2026-08-14
Adam Randall,RB,BAL,281,258.3,14,24,2026-08-14
Drew Allar,QB,PIT,283.8,249.5,13,30,2026-08-14
Seth McGowan,RB,IND,286.1,263,13,22,2026-08-14
Cade Klubnik,QB,NYJ,288.1,223.8,12,55,2026-08-14
Cole Kmet,TE,CHI,288.7,267.1,12,20,2026-08-14
Quinn Ewers,QB,MIA,289.9,225,12,53,2026-08-14
Mike Gesicki,TE,CIN,290.5,270.8,11,18,2026-08-14
Jarquez Hunter,RB,LAR,290.7,264.7,11,21,2026-08-14
Ja'Tavion Sanders,TE,CAR,291.8,272.2,11,18,2026-08-14
Marcus Mariota,QB,WAS,291.8,292.3,11,11,2026-08-14
Isaiah Davis,RB,NYJ,292.1,264.9,11,21,2026-08-14
DJ Giddens,RB,IND,293.6,267.5,11,20,2026-08-14
Najee Harris,RB,LAC,294.8,267.8,10,19,2026-08-14
Brashard Smith,RB,KC,295,269.1,10,19,2026-08-14
Ben Sinnott,TE,WAS,295.7,274.5,10,17,2026-08-14
Jalen Tolbert,WR,MIA,296.4,280.8,10,14,2026-08-14
Tyquan Thornton,WR,KC,298.3,279.1,9,15,2026-08-14
Darius Slayton,WR,NYG,298.6,276.4,9,16,2026-08-14
Taylen Green,QB,CLE,299,279,9,15,2026-08-14
Andrei Iosivas,WR,CIN,299.1,280.3,9,14,2026-08-14
Eli Heidenreich,RB,PIT,300.8,273.1,9,17,2026-08-14
Garrett Nussmeier,QB,KC,301.4,252.8,9,28,2026-08-14
Jameis Winston,QB,NYG,302.9,290.7,9,11,2026-08-14
Will Howard,QB,PIT,305.1,276,8,16,2026-08-14
Cole Payton,QB,PHI,305.2,295.3,8,10,2026-08-14
Kendre Miller,RB,NO,306.2,274.3,8,17,2026-08-14
Jerome Ford,RB,WAS,308.4,275.8,7,16,2026-08-14
Joshua Palmer,WR,BUF,310.1,281.2,7,14,2026-08-14
Matt Hibner,TE,BAL,310.6,280.4,7,14,2026-08-14
Chris Brooks,RB,GB,311.2,277.4,7,15,2026-08-14
Trevor Etienne,RB,CAR,311.6,277.3,7,16,2026-08-14
Devin Singletary,RB,NYG,312.8,276.3,7,16,2026-08-14
George Holani,RB,SEA,313,282.3,7,14,2026-08-14
Sam Roush,TE,CHI,313.7,286.6,7,12,2026-08-14
Malik Davis,RB,DAL,313.8,288,7,12,2026-08-14
Tyson Bagent,QB,CHI,314.1,222.7,7,56,2026-08-14
Tahj Brooks,RB,CIN,314.7,278.6,6,15,2026-08-14
Marlin Klein,TE,HOU,314.9,282.1,6,14,2026-08-14
LeQuint Allen Jr.,RB,JAC,315.7,284.6,6,13,2026-08-14
Isaac Guerendo,RB,SF,315.9,280.8,6,14,2026-08-14
