name,team,position,rank,projection,proj_3yr,trade_value,source_date
T Henderson,NE,RB,34.0,156.0,437.0,40.0,2026-08-18
J Daniels,WAS,QB,35.0,334.0,1018.0,39.0,2026-08-18
T Higgins,CIN,WR,36.0,166.0,440.0,39.0,2026-08-18
J Jacobs,GB,RB,37.0,213.0,444.0,37.0,2026-08-18
R Rice,KC,WR,38.0,175.0,412.0,37.0,2026-08-18
A Brown,NE,WR,39.0,177.0,426.0,36.0,2026-08-18
J Waddle,DEN,WR,40.0,151.0,425.0,36.0,2026-08-18
C Tate,TEN,WR,41.0,131.0,396.0,35.0,2026-08-18
M Lemon,PHI,WR,42.0,109.0,411.0,35.0,2026-08-18
L McConkey,LAC,WR,43.0,143.0,415.0,35.0,2026-08-18
B Irving,TB,RB,44.0,169.0,396.0,34.0,2026-08-18
K Williams,LAR,RB,45.0,201.0,385.0,34.0,2026-08-18
C Brown,CIN,RB,46.0,207.0,397.0,34.0,2026-08-18
G Wilson,NYJ,WR,47.0,150.0,400.0,33.0,2026-08-18
J Price,SEA,RB,48.0,152.0,406.0,33.0,2026-08-18
D Smith,PHI,WR,49.0,155.0,404.0,32.0,2026-08-18
L Burden III,CHI,WR,50.0,144.0,386.0,32.0,2026-08-18
J Tyson,NO,WR,51.0,95.0,392.0,31.0,2026-08-18
T Warren,IND,TE,52.0,139.0,369.0,31.0,2026-08-18
C Watson,GB,WR,53.0,162.0,413.0,30.0,2026-08-18
L Jackson,BAL,QB,54.0,340.0,1000.0,30.0,2026-08-18
H Fannin Jr.,CLE,TE,55.0,120.0,337.0,30.0,2026-08-18
T Kraft,GB,TE,56.0,127.0,371.0,30.0,2026-08-18
R Odunze,CHI,WR,57.0,140.0,383.0,29.0,2026-08-18
D Henry,BAL,RB,58.0,244.0,378.0,29.0,2026-08-18
J Burrow,CIN,QB,59.0,337.0,974.0,29.0,2026-08-18
C Williams,CHI,QB,60.0,324.0,926.0,26.0,2026-08-18
K Concepcion,CLE,WR,61.0,113.0,355.0,26.0,2026-08-18
B Thomas Jr.,JAX,WR,62.0,128.0,358.0,25.0,2026-08-18
